"ID","tid","sn","x","y","time","locid","prob","OriginType"
"1965144",102,48,437959.563889242,400739.899351921,20:00:00,196,0.03342425,"Dominant"
"1840589",334,1,450370.847418155,380395.979323184,01:00:00,183,0.0198714,"Dominant"
"1504114",149,1,438745.615760115,403170.9121845,00:00:00,150,0.00530835,"Non-dominant"
"2005520",105,25,466258.788641555,398972.098191002,10:00:00,200,0.03922372,"Dominant"
"1934495",98,21,469733.882426029,412446.292393273,09:00:00,193,0.02964465,"Dominant"
"1318634",46,1,431436.716148714,410652.588786283,02:00:00,132,0.00258385,"Non-dominant"
"1776835",242,29,458563.607983969,410809.58556104,14:00:00,177,0.0156314,"Dominant"
"1264820",263,26,452471.242239755,379915.488524494,17:00:00,126,0.00203253,"Non-dominant"
"1583950",129,18,449841.956388217,400551.393711483,10:00:00,158,0.00731028,"Non-dominant"
"1997170",155,11,433920.280419456,392836.925052347,09:00:00,199,0.03768573,"Dominant"
"1923680",84,39,474457.566190364,416221.403227438,16:00:00,192,0.02848227,"Dominant"
"1835570",148,37,450112.760425902,380586.49393345,22:00:00,183,0.0198714,"Dominant"
"1700372",31,6,435548.730244055,383313.113021802,20:00:00,170,0.01181396,"Dominant"
"1930818",310,4,474539.946978316,416324.51086519,01:00:00,192,0.02848227,"Dominant"
"1853486",92,48,455866.72460471,411872.181255734,22:00:00,185,0.02152643,"Dominant"
"1684931",144,21,434447.951918457,406373.748362424,15:00:00,168,0.01090566,"Dominant"
"1974393",90,57,424166.485247193,399435.135684359,21:00:00,197,0.03478832,"Dominant"
"1329646",75,40,437576.425508188,383242.320656829,22:00:00,133,0.0026893,"Non-dominant"
"1889826",294,37,431491.305578009,398127.402926178,16:00:00,188,0.02427099,"Dominant"
"1940935",303,28,469573.616423223,412613.387663241,18:00:00,193,0.02964465,"Dominant"
"1275314",270,60,453606.156174491,380350.204590892,23:00:00,127,0.00211548,"Non-dominant"
"1550366",49,16,461062.06075995,405318.553437965,18:00:00,155,0.00648364,"Non-dominant"
"1876437",200,6,451969.309575463,415621.813599098,14:00:00,187,0.02331931,"Dominant"
"1454888",236,9,442955.282766177,398462.954407868,08:00:00,145,0.00434611,"Non-dominant"
"1953741",78,23,437930.699585734,391613.583480585,10:00:00,195,0.03211366,"Dominant"
"1260685",102,22,452595.659347151,380038.42934007,10:00:00,126,0.00203253,"Non-dominant"
"1843431",94,34,459645.573598296,405782.963945109,11:00:00,184,0.02068237,"Dominant"
